Manmino,Old Word,Type,Hanji Spelling,Definition
o,o,,五,(n) five
a,a,,,(prn) I; me
ekek,aa,,啞啞,(exclamative) ah
aa,aa,,餓餓,(adj) hungry (formal)
aca,aca,,,(n) morning
losia,,,,(n) russia
agwi,akuy,,餓鬼,(n) demon (Buddhist)
alubayit,alubayit,,,(n) part-time job
amelika,amelika,,,(n) america;
amhek,amhek,,暗黑,(n) darkness
amgi,amki,,暗記,(v) to memorize
amsat,amsat,,暗殺,"(v) to kill secretly, to assassinate"
amsek,amsiek,,巖石,(n) stone; gem; jewel;
akma,amua,,惡魔,(n) demon; fiend
an,an,,眼,(n) eyes
anjen,anjen,,安全,"(adj-na,n) safe; safety; security; problem-free, without fear, all right, alright, OK, okay;"
anjenday,anjenday,,安全帶,(n) seatbelt;
anju,anjiu,,按酒,(n) snacks for booze
aneng,ankeng,,眼璟,(n) glasses
anmen,anmien,,顔面,(n) face
anmuk,anmiok,,眼目,(n) eye
anma,anmua,,按摩,"(v,n) to massage, massage"
annway,annuay,,案內,"(v) to guide, to direct"
ansik,ansik,,顔色,(n) facial expression
ap,ap,,鴨,"(n,adj) duck; weird"
apha,apha,,,(n) leaf
aphuy,aphuy,,,(n) fire
apsuk,apsiok,,壓縮,(v) to compress
aptiolop,aptiolop,,,(n) ten
osik,asik,,午食,(n) lunch
atat,atat,,,(prn) we; us
ay,ay,,愛,"(v,n,n-suf) to love; affection;"
ayji,ayji,,,(n) baby
aygwok,aykok,,愛國,(n) patriotism
aynin,aynin,,愛人,(n) lover (regardless of legitimacy)
baba/papa,baba/papa,,,(n) father; dad
babi,babi,,,(n) baby
bakbat,bakbat,,爆發,(n) explosion
bakpa,bakpua,,爆破,(v) to explode
bobun,bambun,,部分,(n) part; piece; share
bohang,bamhang,,步行,(v) to walk (on foot)
bohwok,bamhok,,捕獲,(v) to catch through hunting
bojok,bamjok,,部族,(n) tribe
bomyu,bammiu,,蒲矛,(n) fishcakes
pan,ban,,反,(adj) anti-
bendem,bandem,,飯店,(n) restraunt
pandway,banduay,,反對,"(n, v) opposition; to be opposite; to oppose"
banghak,banghak,,放學,(v) to be out of school
banggasek,banghaysiek,,方解石,(n) calcite;
banghwang,banghuang,,彷徨,(v) to wander
bangjo,bangjio,,幫助,"(n,v) assitance; aid; help"
jwa,bangjua,,座,(v) to sit
bangsit,bangkan,,房室,(n) room
banggim,bangkim,,方今,(n) now
bangkwet,bangkwet,,,(n) dinner (formal)
bangsim,bangsim,,放心,"(adj,v) relax; relaxed; relieved"
panjek,banjek,,反則,(n) against the rules
benmay,banmay,,販賣,(v) to sell
bennap,bannap,,返納,(v) to return (something)
bapdang,bapdang,,法堂,(n) temple (Buddhist)
pala'o,,,,(n) pharaoh
basu,basu,,,(n) bus
bat,bat,,八,(n) eight
batgyut,batgat,,發掘,(v) to excavate an artifact or fossils
bathen,bathen,,發現,(v) to appear; to manifest
